Accession-1,Gene Name,start,end,Genes in same transcription unit,Promoters,Centisome-Position,Direction,Transcription Units,operon,promotorstart,promotorend,operon_direction
b2856,ygeL,2994937,2995092,ygeL // ygeK,,64.52309,-,ygeLK,ygeLK,2995092,2995392,-
b2858,ygeN,2995314,2996020,insC4 // insD4 // insCD4 // ygeO // ygeN,,64.531204,-,insC4D4CD4-ygeON,insCD4C4D4-ygeON,2997600,2997900,-
b2859,ygeO,2995962,2996360,insC4 // insD4 // insCD4 // ygeO // ygeN,,64.545166,-,insC4D4CD4-ygeON,insCD4C4D4-ygeON,2997600,2997900,-
b2860,insD4,2996372,2997277,insC4 // insD4 // insCD4 // ygeO // ygeN,,64.554,-,insC4D4CD4-ygeON,insCD4C4D4-ygeON,2997600,2997900,-
b2861,insC4,2997235,2997600,insC4 // insD4 // insCD4 // ygeO // ygeN,,64.57259,-,insC4D4CD4-ygeON,insCD4C4D4-ygeON,2997600,2997900,-
b2862,ygeP,2997689,2997988,ygeP,,64.582375,-,ygeP,ygeP,2997988,2998288,-
b2863,ygeQ,2998034,2998828,ygeQ,,64.589806,-,ygeQ,ygeQ,2998828,2999128,-
b2864,glyU,2998984,2999057,glyU,glyUp,64.610275,-,glyU // glyU,glyU,2999057,2999357,-
b2865,actS,2999136,2999891,actS,,64.61355,-,ygeR,actS,2999891,3000191,-
b2866,xdhA,3000345,3002603,xdhB // xdhC // xdhA,xdhAp2 // xdhAp1,64.639595,+,xdhABC // xdhABC,xdhABC,3000045,3000345,+
b2867,xdhB,3002614,3003492,xdhB // xdhC // xdhA,xdhAp2 // xdhAp1,64.68848,+,xdhABC // xdhABC,xdhABC,3000045,3000345,+
b2868,xdhC,3003489,3003968,xdhB // xdhC // xdhA,xdhAp2 // xdhAp1,64.70733,+,xdhABC // xdhABC,xdhABC,3000045,3000345,+
b2869,ygeV,3004008,3005786,ygeV,ygeVp,64.718506,-,ygeV,ygeV,3005786,3006086,-
b2870,ygeW,3006262,3007452,ygeW,,64.76707,+,ygeW,ygeW,3005962,3006262,+
b2871,ygeX,3007510,3008706,ygeX,,64.79395,+,ygeX,ygeX,3007210,3007510,+
b2872,ygeY,3008764,3009975,ygeY,,64.82098,+,ygeY,ygeY,3008464,3008764,+
b2873,hyuA,3010028,3011413,hyuA,,64.848206,+,hyuA,hyuA,3009728,3010028,+
b2874,yqeA,3011461,3012393,yqeA,,64.879074,+,yqeA,yqeA,3011161,3011461,+
b2875,yqeB,3012614,3014239,yqeB,,64.903915,-,yqeB,yqeB,3014239,3014539,-
b2876,yqeC,3014287,3015057,yqeC,,64.939964,-,yqeC,yqeC,3015057,3015357,-
b2877,mocA,3015160,3015738,mocA,,64.95877,+,mocA,mocA,3014860,3015160,+
b2878,ygfK,3016060,3019158,ygfK // ssnA,ygfKp,64.97816,+,ygfK-ssnA,ygfK-ssnA,3015760,3016060,+
b2879,ssnA,3019161,3020489,ssnA // ygfK,ssnAp // ygfKp,65.04497,+,ssnA // ygfK-ssnA,ygfK-ssnA,3015760,3016060,+
b2880,ygfM,3020540,3021319,xdhD // ygfM,,65.07468,+,ygfM-xdhD,ygfM-xdhD,3020240,3020540,+
b2881,xdhD,3021316,3024186,xdhD // ygfM,,65.09139,+,ygfM-xdhD,ygfM-xdhD,3020240,3020540,+
b2882,xanQ,3024351,3025751,ghxQ // guaD // xanQ,,65.156784,+,xanQ-guaD-ghxQ,xanQ-guaD-ghxQ,3024051,3024351,+
b2883,guaD,3025766,3027085,ghxQ // guaD // xanQ,,65.18726,+,xanQ-guaD-ghxQ,xanQ-guaD-ghxQ,3024051,3024351,+
b2886,ygfS,3028524,3029012,ygfT // ygfS,,65.24668,-,ygfTS,ygfTS,3030931,3031231,-
b2887,ygfT,3029012,3030931,ygfT // ygfS,,65.257195,-,ygfTS,ygfTS,3030931,3031231,-
b2888,uacT,3031367,3032815,uacT,,65.30793,+,uacT,uacT,3031067,3031367,+
b2889,idi,3033065,3033613,idi,,65.34451,+,idi,idi,3032765,3033065,+
b2890,lysS,3033657,3035174,lysS // xerD // prfB // recJ // dsbC,,65.35727,-,prfB-lysS,xerD-dsbC-recJ-prfB-lysS,3039743,3040043,-
b2891,prfB,3035184,3036282,recJ // dsbC // xerD // lysS // prfB,dsbCp2,65.39017,-,dsbC-recJ-prfB // prfB-lysS,xerD-dsbC-recJ-prfB-lysS,3039743,3040043,-
b2892,recJ,3036373,3038106,lysS // prfB // recJ // dsbC // xerD,xerDp2 // xerDp // dsbCp2,65.41578,-,xerD-dsbC-recJ // xerD-dsbC-recJ // dsbC-recJ-prfB,xerD-dsbC-recJ-prfB-lysS,3039743,3040043,-
b2893,dsbC,3038112,3038822,lysS // prfB // recJ // dsbC // xerD,xerDp2 // xerDp // dsbCp2 // dsbCp,65.45325,-,xerD-dsbC-recJ // xerD-dsbC-recJ // dsbC-recJ-prfB // dsbC,xerD-dsbC-recJ-prfB-lysS,3039743,3040043,-
b2894,xerD,3038847,3039743,lysS // prfB // recJ // dsbC // xerD,xerDp2 // xerDp,65.46908,-,xerD-dsbC-recJ // xerD-dsbC-recJ // xerD,xerD-dsbC-recJ-prfB-lysS,3039743,3040043,-
b2895,fldB,3039855,3040376,fldB,fldBp,65.4908,+,fldB,fldB,3039555,3039855,+
b2896,ygfX,3040416,3040823,sdhE // ygfX,sdhEp,65.50289,-,sdhE-ygfX,sdhE-ygfX,3041070,3041370,-
b2897,sdhE,3040804,3041070,sdhE // ygfX,sdhEp,65.511246,-,sdhE-ygfX,sdhE-ygfX,3041070,3041370,-
b2898,ygfZ,3041313,3042293,ygfZ,ygfZp,65.52221,+,ygfZ,ygfZ,3041013,3041313,+
b2899,yqfA,3042489,3043148,yqfA,,65.54755,-,yqfA,yqfA,3043148,3043448,-
b2900,yqfB,3043312,3043623,yqfB,,65.56528,-,yqfB,yqfB,3043623,3043923,-
b2901,bglA,3043662,3045101,bglA,,65.572815,+,bglA,bglA,3043362,3043662,+
b2902,ygfF,3045158,3045901,ygfF,,65.60505,-,ygfF,ygfF,3045901,3046201,-
b2903,gcvP,3046168,3049041,gcvP // gcvH // gcvT,gcvPp // gcvTp,65.62681,-,gcvP // gcvTHP,gcvTHP,3050667,3050967,-
b2904,gcvH,3049160,3049549,gcvH // gcvT // gcvP,gcvTp,65.69127,-,gcvTHP,gcvTHP,3050667,3050967,-
b2905,gcvT,3049573,3050667,gcvH // gcvT // gcvP,gcvTp,65.700165,-,gcvTHP,gcvTHP,3050667,3050967,-
b2906,ubiI,3051115,3052317,ygfB // pepP // ubiH // ubiI,ygfBp,65.73338,-,ygfB-pepP-ubiHI,ygfB-pepP-ubiHI,3055444,3055744,-
b2907,ubiH,3052340,3053518,ygfB // pepP // ubiH // ubiI,ygfBp,65.75978,-,ygfB-pepP-ubiHI,ygfB-pepP-ubiHI,3055444,3055744,-
b2908,pepP,3053515,3054840,ygfB // pepP // ubiH // ubiI,ygfBp,65.785095,-,ygfB-pepP-ubiHI,ygfB-pepP-ubiHI,3055444,3055744,-
b2909,ygfB,3054866,3055444,ygfB // pepP // ubiH // ubiI,ygfBp,65.81419,-,ygfB-pepP-ubiHI,ygfB-pepP-ubiHI,3055444,3055744,-
b2910,zapA,3055612,3055941,zapA,,65.83027,+,zapA,zapA,3055312,3055612,+
b2911,ssrS,3055983,3056165,fau // ssrS,ssrSp // ssrSp // ssrSp1 // ssrSp2 // ssrSp2 // ssrSp1,65.83826,+,ssrS-ygfA // ssrS // ssrS // ssrS // ssrS-ygfA // ssrS-ygfA,ssrS-fau,3055683,3055983,+
b2912,fau,3056241,3056789,fau // ssrS,ssrSp // ssrSp2 // ssrSp1,65.84382,+,ssrS-ygfA // ssrS-ygfA // ssrS-ygfA,ssrS-fau,3055683,3055983,+
b2913,serA,3057178,3058410,serA,serAp2 // serAp1,65.864006,-,serA // serA,serA,3058410,3058710,-
b2914,rpiA,3058666,3059325,rpiA,rpiAp,65.896065,-,rpiA,rpiA,3059325,3059625,-
b2915,yqfE,3059381,3059611,yqfE,,65.91147,-,yqfE,yqfE,3059611,3059911,-
b2916,argP,3059753,3060646,argP,argPp,65.91948,+,argP,argP,3059453,3059753,+
b2917,scpA,3060850,3062994,scpC // scpB // argK // scpA,,65.943115,+,scpA-argK-scpBC,scpA-argK-scpBC,3060550,3060850,+
b2918,argK,3062987,3063982,scpC // scpB // argK // scpA,,65.98915,+,scpA-argK-scpBC,scpA-argK-scpBC,3060550,3060850,+
b2919,scpB,3063993,3064778,scpC // scpB // argK // scpA,,66.010826,+,scpA-argK-scpBC,scpA-argK-scpBC,3060550,3060850,+
b2920,scpC,3064802,3066280,scpC // scpB // argK // scpA,,66.02826,+,scpA-argK-scpBC,scpA-argK-scpBC,3060550,3060850,+
b2921,ygfI,3066277,3067173,ygfI,,66.060036,-,ygfI,ygfI,3067173,3067473,-
b2922,yggE,3067340,3068080,yggE,yggEp2 // yggEp1,66.08294,-,yggE // yggE,yggE,3068080,3068380,-
b2923,argO,3068173,3068808,argO,argOp,66.10088,-,argO,argO,3068808,3069108,-
b2924,mscS,3068947,3069807,mscS,mscSp,66.11756,-,mscS,mscS,3069807,3070107,-
b2925,fbaA,3070165,3071244,epd // fbaA // pgk,epdp2 // pgkp3 // pgkp2 // epdp // pgkp1,66.1438,-,epd-pgk-fbaA // pgk-fbaA // pgk-fbaA // epd-pgk-fbaA // pgk-fbaA,epd-pgk-fbaA,3073691,3073991,-
b2926,pgk,3071459,3072622,fbaA // pgk // epd,epdp2 // epdp2 // pgkp3 // pgkp3 // pgkp2 // pgkp2 // pgkp1 // epdp // pgkp1 // epdp,66.17168,-,epd-pgk // epd-pgk-fbaA // pgk-fbaA // pgk // pgk-fbaA // pgk // pgk // epd-pgk-fbaA // pgk-fbaA // epd-pgk,epd-pgk-fbaA,3073691,3073991,-
b2927,epd,3072672,3073691,fbaA // pgk // epd,epdp2 // epdp2 // epdp // epdp,66.197815,-,epd-pgk // epd-pgk-fbaA // epd-pgk-fbaA // epd-pgk,epd-pgk-fbaA,3073691,3073991,-
b2928,yggC,3073976,3074689,cmtB // cmtA // yggP // yggF // fumE // yggC,fumEp,66.22591,-,yggDC // cmtBA-yggPF-fumE-yggC,cmtBA-yggPF-fumE-yggC,3079330,3079630,-
b2929,fumE,3074686,3075195,cmtB // cmtA // yggP // yggF // fumE // yggC,fumEp,66.241196,-,yggDC // cmtBA-yggPF-fumE-yggC,cmtBA-yggPF-fumE-yggC,3079330,3079630,-
b2930,yggF,3075217,3076182,cmtB // cmtA // yggP // yggF // yggC // fumE,,66.25264,-,cmtBA-yggPF-fumE-yggC,cmtBA-yggPF-fumE-yggC,3079330,3079630,-
b2933,cmtA,3077471,3078859,cmtB // cmtA // yggP // yggF // yggC // fumE,,66.3012,-,cmtBA-yggPF-fumE-yggC,cmtBA-yggPF-fumE-yggC,3079330,3079630,-
b2934,cmtB,3078887,3079330,cmtB // cmtA // yggP // yggF // yggC // fumE,,66.33171,-,cmtBA-yggPF-fumE-yggC,cmtBA-yggPF-fumE-yggC,3079330,3079630,-
b2935,tktA,3079644,3081635,tktA,tktAp,66.348015,-,tktA,tktA,3081635,3081935,-
b2936,loiP,3081913,3082671,loiP,loiPp,66.3969,+,yggG,loiP,3081613,3081913,+
b2937,speB,3082877,3083797,speB // speA,speBp // speAp,66.41767,-,speB // speAB,speAB,3085911,3086211,-
b2938,speA,3083935,3085911,speA // speB,speAp,66.44046,-,speAB,speAB,3085911,3086211,-
b2939,yqgB,3085920,3086051,yqgB,,66.48322,-,yqgB,yqgB,3086051,3086351,-
b2940,yqgC,3086187,3086402,yqgC,,66.48898,+,yqgC,yqgC,3085887,3086187,+
b2941,yqgD,3086399,3086650,yqgD,,66.493546,-,yqgD,yqgD,3086650,3086950,-
b2942,metK,3086706,3087860,metK,metKp2 // metKp,66.50016,+,metK // metK,metK,3086406,3086706,+
b2943,galP,3088284,3089678,galP,galPp,66.53416,+,galP,galP,3087984,3088284,+
b2944,yggI,3089755,3090252,yggI,,66.56585,+,yggI,yggI,3089455,3089755,+
b2945,endA,3090347,3091054,endA,endAp2 // endAp1,66.578606,+,endA // endA,endA,3090047,3090347,+
b2946,rsmE,3091134,3091865,gshB // rsmE,,66.59555,+,rsmE-gshB,rsmE-gshB,3090834,3091134,+
b2947,gshB,3091878,3092828,gshB // rsmE,,66.61159,+,rsmE-gshB,rsmE-gshB,3090834,3091134,+
b2948,yqgE,3092937,3093500,yqgF // yqgE,,66.6344,+,yqgEF,yqgEF,3092637,3092937,+
b2949,yqgF,3093500,3093916,yqgF // yqgE,,66.64653,+,yqgEF,yqgEF,3092637,3092937,+
b2950,yggR,3094100,3095080,yggR,,66.659454,-,yggR,yggR,3095080,3095380,-
b2951,yggS,3095098,3095802,yggU // yggT // yggS // hemW // rdgB,,66.680954,+,yggSTU-rdgB-hemW,yggSTU-rdgB-hemW,3094798,3095098,+
b2952,yggT,3095820,3096386,yggU // yggT // yggS // hemW // rdgB,,66.69651,+,yggSTU-rdgB-hemW,yggSTU-rdgB-hemW,3094798,3095098,+
b2953,yggU,3096383,3096673,yggU // yggT // yggS // hemW // rdgB,,66.70864,+,yggSTU-rdgB-hemW,yggSTU-rdgB-hemW,3094798,3095098,+
b2954,rdgB,3096681,3097274,hemW // rdgB // yggU // yggT // yggS,rdgBp,66.715065,+,rdgB-yggW // yggSTU-rdgB-hemW,yggSTU-rdgB-hemW,3094798,3095098,+
b2955,hemW,3097267,3098403,hemW // rdgB // yggU // yggT // yggS,rdgBp,66.727684,+,rdgB-yggW // yggSTU-rdgB-hemW,yggSTU-rdgB-hemW,3094798,3095098,+
b2956,yggM,3098558,3099565,yggM,,66.7555,-,yggM,yggM,3099565,3099865,-
b2957,ansB,3099682,3100728,ansB,ansBp1 // ansBp2,66.77972,-,ansB // ansB,ansB,3100728,3101028,-
b2958,yggN,3100904,3101623,yggN,yggNp2b // yggNp2 // yggNp1,66.806046,-,yggN // yggN // yggN,yggN,3101623,3101923,-
b2959,yggL,3101807,3102133,trmB // yggL,,66.8255,-,trmB-yggL,trmB-yggL,3102852,3103152,-
b2960,trmB,3102133,3102852,trmB // yggL,,66.83252,-,trmB-yggL,trmB-yggL,3102852,3103152,-
b2961,mutY,3103013,3104065,nupG // mutY // mltC // yggX,mutYp2 // mutYp2 // mutYp1 // mutYp1 // mutYp2 // mutYp1,66.85148,+,mutY-yggX-mltC // mutY-yggX // mutY-yggX-mltC // mutY-yggX // mutY-yggX-mltC-nupG // mutY-yggX-mltC-nupG,mutY-yggX-mltC-nupG,3102713,3103013,+
b2962,yggX,3104093,3104368,nupG // mutY // mltC // yggX,mutYp2 // mutYp2 // yggXp // yggXp // mutYp1 // mutYp1 // yggXp // mutYp2 // mutYp1,66.87475,+,mutY-yggX-mltC // mutY-yggX // yggX-mltC // yggX // mutY-yggX-mltC // mutY-yggX // yggX-mltC-nupG // mutY-yggX-mltC-nupG // mutY-yggX-mltC-nupG,mutY-yggX-mltC-nupG,3102713,3103013,+
b2963,mltC,3104433,3105512,nupG // mutY // mltC // yggX,mutYp2 // yggXp // mutYp1 // yggXp // mutYp2 // mutYp1,66.88207,+,mutY-yggX-mltC // yggX-mltC // mutY-yggX-mltC // yggX-mltC-nupG // mutY-yggX-mltC-nupG // mutY-yggX-mltC-nupG,mutY-yggX-mltC-nupG,3102713,3103013,+
b2964,nupG,3105714,3106970,nupG // mltC // yggX // mutY,yggXp // mutYp2 // mutYp1 // nupGp,66.90967,+,yggX-mltC-nupG // mutY-yggX-mltC-nupG // mutY-yggX-mltC-nupG // nupG,mutY-yggX-mltC-nupG,3102713,3103013,+
b2965,speC,3107020,3109155,speC,speCp,66.937805,-,speC,speC,3109155,3109455,-
b2966,yqgA,3109553,3110260,yqgA,,66.99238,+,yqgA,yqgA,3109253,3109553,+
b2967,pheV,3110366,3110441,pheV,pheVp,67.00989,+,pheV,pheV,3110066,3110366,+
b2968,yghD,3110590,3111126,yghE // yghD,,67.01472,-,yghED,yghED,3111988,3112288,-
b2969,yghE,3111128,3111988,yghE // yghD,,67.02631,-,yghED,yghED,3111988,3112288,-
b2970,yghF,3112054,3113049,yghF,yghFp,67.046265,-,yghF,yghF,3113049,3113349,-
b2971,yghG,3113067,3113477,yghG,,67.068085,-,yghG,yghG,3113477,3113777,-
b2972,pppA,3113543,3114352,pppA,,67.07834,-,pppA,pppA,3114352,3114652,-
b2975,glcA,3119597,3121279,glcA // glcB // glcG // glcF // glcE // glcD,glcBp // glcDp,67.20877,-,glcBA // glcDEFGBA,glcDEFGBA,3128021,3128321,-
b2976,glcB,3121634,3123805,glcA // glcB // glcG // glcF // glcE // glcD,glcBp // glcDp,67.25265,-,glcBA // glcDEFGBA,glcDEFGBA,3128021,3128321,-
b2977,glcG,3123827,3124231,glcG // glcF // glcE // glcD // glcA // glcB,glcDp,67.2999,-,glcDEFGBA,glcDEFGBA,3128021,3128321,-
b2979,glcD,3126522,3128021,glcG // glcF // glcE // glcD // glcA // glcB,glcDp,67.357956,-,glcDEFGBA,glcDEFGBA,3128021,3128321,-
b2980,glcC,3128272,3129036,glcC,glcCp,67.39566,+,glcC,glcC,3127972,3128272,+
b2981,yghO,3129043,3130215,yghO,,67.41227,-,yghO,yghO,3130215,3130515,-
b2982,insH9,3130214,3131194,insH9,,67.4375,+,insH-9,insH9,3129914,3130214,+
b2983,yghQ,3131341,3132408,yghQ,,67.46178,-,yghQ,yghQ,3132408,3132708,-
b2984,yghR,3132454,3133212,yghS // yghR,,67.485756,-,yghSR,yghSR,3133957,3134257,-
b2985,yghS,3133244,3133957,yghS // yghR,,67.50278,-,yghSR,yghSR,3133957,3134257,-
b2986,yghT,3134131,3134823,yghT,,67.52189,+,yghT,yghT,3133831,3134131,+
b2987,pitB,3134872,3136371,pitB,pitBp,67.53785,-,pitB,pitB,3136371,3136671,-
b2988,gss,3136663,3138522,gss,gssp,67.57644,-,gss,gss,3138522,3138822,-
b2989,yghU,3138727,3139593,yghU,yghUp,67.6209,+,yghU,yghU,3138427,3138727,+
b2990,hybG,3139716,3139964,hybO // hybG // hybF // hybE // hybD // hybC // hybB // hybA,hybOp1,67.64221,-,hybOABCDEFG,hybOABCDEFG,3146261,3146561,-
b2991,hybF,3139977,3140318,hybO // hybG // hybF // hybE // hybD // hybC // hybB // hybA,hybOp1,67.647835,-,hybOABCDEFG,hybOABCDEFG,3146261,3146561,-
b2992,hybE,3140311,3140799,hybO // hybG // hybF // hybE // hybD // hybC // hybB // hybA,hybOp1,67.65503,-,hybOABCDEFG,hybOABCDEFG,3146261,3146561,-
b2993,hybD,3140792,3141286,hybO // hybG // hybF // hybE // hybD // hybC // hybB // hybA,hybOp1,67.66539,-,hybOABCDEFG,hybOABCDEFG,3146261,3146561,-
b2994,hybC,3141286,3142989,hybO // hybG // hybF // hybE // hybD // hybC // hybB // hybA,hybOp1,67.67603,-,hybOABCDEFG,hybOABCDEFG,3146261,3146561,-
b2995,hybB,3142986,3144164,hybO // hybG // hybF // hybE // hybD // hybC // hybB // hybA,hybOp1,67.71266,-,hybOABCDEFG,hybOABCDEFG,3146261,3146561,-
b2996,hybA,3144154,3145140,hybO // hybG // hybF // hybE // hybD // hybC // hybB // hybA,hybOp1,67.73782,-,hybOABCDEFG,hybOABCDEFG,3146261,3146561,-
b2997,hybO,3145143,3146261,hybO // hybG // hybF // hybE // hybD // hybC // hybB // hybA,hybOp1,67.75913,-,hybOABCDEFG,hybOABCDEFG,3146261,3146561,-
b2998,yghW,3146450,3146737,yghW,,67.78729,-,yghW,yghW,3146737,3147037,-
b3001,gpr,3147897,3148937,gpr,,67.81847,+,yghZ,gpr,3147597,3147897,+
b3002,yqhA,3148977,3149471,yqhA,,67.841736,-,yqhA,yqhA,3149471,3149771,-
b3003,yghA,3149662,3150546,yghA,,67.85648,+,yghA,yghA,3149362,3149662,+
b3004,b3004,3150722,3150967,,,67.865616,+,,,3150422,3150722,+
b3005,exbD,3150818,3151243,exbD // exbB,exbDp // exbBp,67.88139,-,exbD // exbBD,exbBD,3151984,3152284,-
b3006,exbB,3151250,3151984,exbB // exbD,exbBp,67.8907,-,exbBD,exbBD,3151984,3152284,-
b3007,b3007,3151977,3152132,,,67.89266,-,,,3152132,3152432,-
b3008,metC,3152236,3153423,metC,metCp,67.91194,+,metC,metC,3151936,3152236,+
b3009,yghB,3153563,3154222,yghB,yghBp,67.94054,+,yghB,yghB,3153263,3153563,+
b3010,yqhC,3154262,3155218,yqhC,,67.95559,-,yqhC,yqhC,3155218,3155518,-
b3011,yqhD,3155355,3156518,yqhD // dkgA,yqhDp,67.97914,+,yqhD-dkgA,yqhD-dkgA,3155055,3155355,+
b3012,dkgA,3156623,3157450,yqhD // dkgA,yqhDp // dkgAp,68.006454,+,yqhD-dkgA // dkgAp // dkgA,yqhD-dkgA,3155055,3155355,+
b3013,yqhG,3157650,3158576,yqhG,yqhGp,68.02858,+,yqhG,yqhG,3157350,3157650,+
b3014,yqhH,3158627,3158884,yqhH,,68.04963,+,yqhH,yqhH,3158327,3158627,+
b3017,ftsP,3161257,3162669,ftsP,,68.106285,-,ftsP,ftsP,3162669,3162969,-
b3018,plsC,3162744,3163481,plsC,,68.13833,-,plsC,plsC,3163481,3163781,-
b3019,parC,3163715,3165973,parC,,68.15925,-,parC,parC,3165973,3166273,-
b3020,ygiS,3166111,3167718,ygiS,,68.21086,-,ygiS,ygiS,3167718,3168018,-
b3021,mqsA,3167851,3168246,mqsR // mqsA,mqsAp2 // mqsAp1 // mqsRp2 // mqsRp1,68.24835,-,mqsA // mqsA // mqsRA // mqsRA,mqsRA,3168544,3168844,-
b3022,mqsR,3168248,3168544,mqsR // mqsA,mqsRp2 // mqsRp1,68.256905,-,mqsRA // mqsRA,mqsRA,3168544,3168844,-
b3023,ygiV,3168749,3169231,ygiV,,68.2677,-,ygiV,ygiV,3169231,3169531,-
b3024,ygiW,3169284,3169676,ygiW,,68.27923,-,ygiW,ygiW,3169676,3169976,-
b3025,qseB,3169828,3170487,qseC // qseB,qseBp1 // qseBp2,68.29094,+,qseBC // qseBC,qseBC,3169528,3169828,+
b3026,qseC,3170484,3171833,qseC // qseB,qseBp1 // qseBp2,68.30508,+,qseBC // qseBC,qseBC,3169528,3169828,+
b3027,ygiZ,3171879,3172211,ygiZ,ygiZp,68.33514,-,ygiZ,ygiZ,3172211,3172511,-
b3028,mdaB,3172530,3173111,mdaB,,68.34916,+,mdaB,mdaB,3172230,3172530,+
b3029,ygiN,3173142,3173456,ygiN,,68.36234,+,ygiN,ygiN,3172842,3173142,+
b3030,parE,3173504,3175396,nudF // yqiB // cpdA // yqiA // parE,,68.37014,-,nudF-yqiB-cpdA-yqiA-parE,nudF-yqiB-cpdA-yqiA-parE,3177910,3178210,-
b3031,yqiA,3175425,3176006,nudF // yqiB // cpdA // yqiA // parE,,68.41153,-,nudF-yqiB-cpdA-yqiA-parE,nudF-yqiB-cpdA-yqiA-parE,3177910,3178210,-
b3032,cpdA,3176006,3176833,nudF // yqiB // cpdA // yqiA // parE,,68.42405,-,nudF-yqiB-cpdA-yqiA-parE,nudF-yqiB-cpdA-yqiA-parE,3177910,3178210,-
b3033,yqiB,3176858,3177280,nudF // yqiB // cpdA // yqiA // parE,,68.4424,-,nudF-yqiB-cpdA-yqiA-parE,nudF-yqiB-cpdA-yqiA-parE,3177910,3178210,-
b3034,nudF,3177281,3177910,nudF // yqiB // cpdA // yqiA // parE,,68.451515,-,nudF-yqiB-cpdA-yqiA-parE,nudF-yqiB-cpdA-yqiA-parE,3177910,3178210,-
b3035,tolC,3178115,3179596,ygiA // ygiC // ygiB // tolC,tolCp3 // tolCp2 // tolCp1 // tolCp4,68.46948,+,tolC-ygiBC // tolC-ygiBC // tolC-ygiBC // tolC-ygiBC,tolC-ygiBC,3177815,3178115,+
b3036,ygiA,3179596,3179856,ygiA // ygiC // ygiB // tolC,tolCp4 // tolCp3,68.50139,+,tolC-ygiBC // tolC-ygiBC,,3179296,3179596,+
b3037,ygiB,3179744,3180415,ygiA // ygiC // ygiB // tolC,tolCp3 // tolCp2 // tolCp1 // tolCp4,68.50458,+,tolC-ygiBC // tolC-ygiBC // tolC-ygiBC // tolC-ygiBC,tolC-ygiBC,3177815,3178115,+
b3038,ygiC,3180421,3181581,ygiA // ygiC // ygiB // tolC,tolCp3 // tolCp2 // tolCp1 // tolCp4,68.519165,+,tolC-ygiBC // tolC-ygiBC // tolC-ygiBC // tolC-ygiBC,tolC-ygiBC,3177815,3178115,+
b3039,ygiD,3181619,3182434,ygiD,,68.544975,-,ygiD,ygiD,3182434,3182734,-
b3040,zupT,3182550,3183323,zupT,zupTp,68.565025,+,zupT,zupT,3182250,3182550,+
b3041,ribB,3183813,3184466,sroG // ribB,ribBp,68.59224,-,sroG-ribB,sroG-ribB,3184718,3185018,-
b3042,ubiK,3184840,3185130,ubiK,,68.614365,+,ubiK,ubiK,3184540,3184840,+
b3043,ygiL,3185414,3185965,ygiL,,68.62673,+,ygiL,ygiL,3185114,3185414,+
b3044,insC5,3186187,3186552,yqiI // yqiH // yqiG // insD5 // insC5 // insCD5,insC-5p,68.64339,+,insC5CD5D5-yqiHIG,,3185887,3186187,+
b3045,insD5,3186510,3187415,yqiI // yqiH // yqiG // insD5 // insC5 // insCD5,insC-5p,68.650345,+,insC5CD5D5-yqiHIG,,3186210,3186510,+
b3047,yqiH,3189881,3190630,yqiI // yqiH // yqiG // insD5 // insC5 // insCD5,insC-5p,68.72297,+,insC5CD5D5-yqiHIG,,3189581,3189881,+
b3048,yqiI,3190632,3191696,yqiI // yqiH // yqiG // insD5 // insC5 // insCD5,insC-5p,68.73914,+,insC5CD5D5-yqiHIG,,3190332,3190632,+
b3049,glgS,3191739,3191939,glgS,glgSp2 // glgSp1,68.76299,-,glgS // glgS,glgS,3191939,3192239,-
b3050,yqiJ,3192208,3192837,yqiK // yqiJ,,68.7731,+,yqiJK,yqiJK,3191908,3192208,+
b3051,yqiK,3192864,3194525,yqiK // yqiJ,,68.78723,+,yqiJK,yqiJK,3191908,3192208,+
b3052,hldE,3195320,3196753,hldE,,68.84015,-,hldE,hldE,3196753,3197053,-
b3053,glnE,3196801,3199641,ygiF // glnE,,68.872055,-,ygiF-glnE,ygiF-glnE,3200965,3201265,-
b3054,ygiF,3199664,3200965,ygiF // glnE,,68.93373,-,ygiF-glnE,ygiF-glnE,3200965,3201265,-
b3055,ygiM,3201207,3201827,cca // ygiM,ygiMp2 // ygiMp1,68.96697,+,htrG-cca // ygiM,ygiM-cca,3200907,3201207,+
b3056,cca,3201891,3203129,cca // ygiM,ygiMp2,68.98171,+,htrG-cca,ygiM-cca,3200907,3201207,+
b3057,bacA,3203310,3204131,bacA,bacAp,69.01228,-,bacA,bacA,3204131,3204431,-
b3058,folB,3204221,3204589,folB,,69.03191,-,folB,folB,3204589,3204889,-
b3059,plsY,3204694,3205311,plsY,,69.0421,+,ygiH,plsY,3204394,3204694,+
b3060,ttdR,3205324,3206256,ttdR,ttdRp,69.05567,-,ttdR,ttdR,3206256,3206556,-
b3061,ttdA,3206463,3207374,ttdT // ttdA // ttdB,ttdAp,69.08021,+,ttdABT,ttdABT,3206163,3206463,+
b3062,ttdB,3207371,3207976,ttdT // ttdA // ttdB,ttdAp,69.09977,+,ttdABT,ttdABT,3206163,3206463,+
b3063,ttdT,3208024,3209487,ttdT // ttdA // ttdB,ttdAp,69.11384,+,ttdABT,ttdABT,3206163,3206463,+
b3064,tsaD,3209530,3210543,tsaD,,69.146286,-,tsaD,tsaD,3210543,3210843,-
